Measures of performance
AUC           : 0.8452380952380952
Brier         : 0.2226483783256704
Calibration   : 0.1233854578909416
Discrimination: 0.040659160561810646
Accuracy      : 0.8604651162790697
Sensitivity   : 0.9722222222222222
Specificity   : 0.2857142857142857
PPV           : 0.875
NPV           : 0.6666666666666666
LR+           : 1.3611111111111112
LR-           : 0.09722222222222227
